"code8","commonName","object","krugerCode","scientificName","genus","specEpith","subSp","class","order","family","adult_mass_g","brain_mass_g","adult_body_length_mm","adult_forearm_length_mm","max_longevity_d","maturity_d","female_maturity_d","male_maturity_d","age_first_reproduction_d","gestation_length_d","teat_number_n","litter_size_n","litters_per_year_n","interbirth_interval_d","neonate_mass_g","weaning_age_d","weaning_mass_g","generation_length_d","dispersal_km","density_n_km2","hibernation_torpor","fossoriality","home_range_km2","social_group_n","det_invert","det_mamsBirds","det_reptAmph","det_fish","det_vertUnkn","det_scav","det_fruit","det_nect","det_seed","det_plantother","det_mastSoft","det_mastHard","det_mastConifers","det_mastPods","det_mastSamaras","foraging_stratum","activity_cycle","freshwater","marine","terrestrial","aerial","upper_elevation_m","lower_elevation_m","altitude_breadth_m","island_dwelling","island_endemicity","disected_by_mountains","glaciation","biogeographical_realm","habitat_breadth_n","TEE_kcal_d","logBodyMass"
"phanerElectrom","","","","Phaner electromontis","Phaner","electromontis","","mammal","Primates","Cheirogaleidae",400,7.917,268.12,NA,9289.25,NA,660.569,NA,835.216,174.46,NA,1,1.055,368.314,NA,131.505,NA,2879.662,0.64,NA,0,2,NA,NA,0,0,0,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,1500,50,1450,NA,"isolated islands",NA,NA,"Afrotropical",1,106.5000392,2.60205999132796
"phanerPallesce","","","","Phaner pallescens","Phaner","pallescens","","mammal","Primates","Cheirogaleidae",400,6.59,268.12,NA,9289.25,NA,660.746,NA,840.46,174.46,NA,1,1.054,368.281,NA,132.954,NA,2920,0.64,158.5,0,2,NA,NA,0,0,0,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,800,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",2,106.5000392,2.60205999132796
"phanerFurcifer","","","","Phaner furcifer","Phaner","furcifer","","mammal","Primates","Cheirogaleidae",400,6.75,268.12,NA,9289.25,NA,656.153,NA,822.428,174.46,NA,1,1.056,367.448,NA,129.037,NA,2843.795,0.64,500.24,0,2,0.02,1,0,0,0,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,1000,0,1000,NA,"isolated islands",NA,NA,"Afrotropical",1,106.5000392,2.60205999132796
"phanerParienti","","","","Phaner parienti","Phaner","parienti","","mammal","Primates","Cheirogaleidae",400,8.631,268.12,NA,9289.25,NA,702.568,NA,877.575,174.46,NA,1,1.046,369.332,NA,137.323,NA,2950.235,0.64,NA,0,2,NA,NA,0,0,0,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,800,0,800,NA,"isolated islands",NA,NA,"Afrotropical",1,106.5000392,2.60205999132796
"lepilemuWrightae","","","","Lepilemur wrightae","Lepilemur","wrightae","","mammal","Primates","Lepilemuridae",950,11.773,357.277,NA,7947.542,NA,730.187,NA,865.787,140.047,NA,1.065,1.041,363.832,NA,137.03,NA,2886.327,1.031,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,200.7583559,2.97772360528885
"lepilemuFleureta","","","","Lepilemur fleuretae","Lepilemur","fleuretae","","mammal","Primates","Lepilemuridae",980,11.262,357.369,NA,7730.787,NA,719.847,NA,850.615,139.467,NA,1.065,1.038,361.517,NA,134.597,NA,2861.143,1.048,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,205.3854107,2.99122607569249
"lepilemuMustelin","","","","Lepilemur mustelinus","Lepilemur","mustelinus","","mammal","Primates","Lepilemuridae",691.015,9.56,350,NA,4380,663.81,649.048,546,677.07,133.38,2,1,1,354.84,32.085,80.868,NA,1750.92,0.865,36.4,0,2,0.003,1,0,0,0,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,1,"isolated islands",0,0,"Afrotropical",1,158.9865445,2.83948747479319
"lepilemuBetsileo","","","","Lepilemur betsileo","Lepilemur","betsileo","","mammal","Primates","Lepilemuridae",1150,10.625,362.427,NA,6355.989,NA,675.361,NA,788.744,134.928,NA,1.064,1.028,358.326,NA,123.464,NA,2691.326,1.145,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,230.9327074,3.06069784035361
"lepilemuSeali","","","","Lepilemur seali","Lepilemur","seali","","mammal","Primates","Lepilemuridae",950,11.607,357.422,NA,8079.186,NA,725.795,NA,863.197,138.703,NA,1.078,1.03,363.023,NA,138.409,NA,2894.252,1.031,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,NA,NA,NA,NA,"isolated islands",NA,NA,"Afrotropical",1,200.7583559,2.97772360528885
"lepilemuEdwardsi","","","","Lepilemur edwardsi","Lepilemur","edwardsi","","mammal","Primates","Lepilemuridae",713,8.185,350,NA,4380,649.048,649.048,NA,782.428,133.38,2,1,1,355.623,32.085,80.868,NA,2555,0.88,292.6,0,2,0.008,1,0,0,0,0,0,0,0,0,0,100,NA,NA,NA,NA,NA,"Ar",1,0,0,1,0,450,NA,NA,1,"isolated islands",0,0,"Afrotropical",1,162.6781843,2.85308952985187
