"","family","group","col"
"1","Sphagnaceae","bryophyte","#386cb0"
"2","Gleicheniaceae","polypod","#ff7f00"
"3","Hymenophyllaceae","polypod","#ff7f00"
"4","Dicksoniaceae","polypod","#ff7f00"
"5","Cyatheaceae","polypod","#ff7f00"
"6","Denstaedtiaceae","polypod","#ff7f00"
"7","Blechnaceae","polypod","#ff7f00"
"8","Ginkgoaceae","gymnosperm","#984ea3"
"9","Zamiaceae","gymnosperm","#984ea3"
"10","Ephedraceae","gymnosperm","#984ea3"
"11","Pinaceae","gymnosperm","#984ea3"
"12","Sciadopityaceae","gymnosperm","#984ea3"
"13","Taxaceae","gymnosperm","#984ea3"
"14","Cupressaceae","gymnosperm","#984ea3"
"15","Araucariaceae","gymnosperm","#984ea3"
"16","Podocarpaceae","gymnosperm","#984ea3"
"17","Illiciaceae","angiosperm","#4daf4a"
"18","Chloranthaceae","angiosperm","#4daf4a"
"19","Araceae","angiosperm","#4daf4a"
"20","Dioscoreaceae","angiosperm","#4daf4a"
"21","Smilacaceae","angiosperm","#4daf4a"
"22","Amaryllidaceae","angiosperm","#4daf4a"
"23","Asparagaceae","angiosperm","#4daf4a"
"24","Orchidaceae","angiosperm","#4daf4a"
"25","Zingiberaceae","angiosperm","#4daf4a"
"26","Arecaceae","angiosperm","#4daf4a"
"27","Palmae","angiosperm","#4daf4a"
"28","Juncaceae","angiosperm","#4daf4a"
"29","Cyperaceae","angiosperm","#4daf4a"
"30","Poaceae","angiosperm","#4daf4a"
"31","Aristolochiaceae","angiosperm","#4daf4a"
"32","Piperaceae","angiosperm","#4daf4a"
"33","Canellaceae","angiosperm","#4daf4a"
"34","Winteraceae","angiosperm","#4daf4a"
"35","Calycanthaceae","angiosperm","#4daf4a"
"36","Siparunaceae","angiosperm","#4daf4a"
"37","Hernandiaceae","angiosperm","#4daf4a"
"38","Monimiaceae","angiosperm","#4daf4a"
"39","Lauraceae","angiosperm","#4daf4a"
"40","Myristicaceae","angiosperm","#4daf4a"
"41","Magnoliaceae","angiosperm","#4daf4a"
"42","Annonaceae","angiosperm","#4daf4a"
"43","Sabiaceae","angiosperm","#4daf4a"
"44","Buxaceae","angiosperm","#4daf4a"
"45","Platanaceae","angiosperm","#4daf4a"
"46","Proteaceae","angiosperm","#4daf4a"
"47","Menispermaceae","angiosperm","#4daf4a"
"48","Berberidaceae","angiosperm","#4daf4a"
"49","Ranunculaceae","angiosperm","#4daf4a"
"50","Daphniphyllaceae","angiosperm","#4daf4a"
"51","Altingiaceae","angiosperm","#4daf4a"
"52","Cercidiphyllaceae","angiosperm","#4daf4a"
"53","Hamamelidaceae","angiosperm","#4daf4a"
"54","Crassulaceae","angiosperm","#4daf4a"
"55","Saxifragaceae","angiosperm","#4daf4a"
"56","Grossulariaceae","angiosperm","#4daf4a"
"57","Vitaceae","angiosperm","#4daf4a"
"58","Staphyleaceae","angiosperm","#4daf4a"
"59","Stachyuraceae","angiosperm","#4daf4a"
"60","Picramniaceae","angiosperm","#4daf4a"
"61","Onagraceae","angiosperm","#4daf4a"
"62","Combretaceae","angiosperm","#4daf4a"
"63","Lythraceae","angiosperm","#4daf4a"
"64","Alzateaceae","angiosperm","#4daf4a"
"65","Melastomataceae","angiosperm","#4daf4a"
"66","Vochysiaceae","angiosperm","#4daf4a"
"67","Myrtaceae","angiosperm","#4daf4a"
"68","Caricaceae","angiosperm","#4daf4a"
"69","Capparaceae","angiosperm","#4daf4a"
"70","Brassicaceae","angiosperm","#4daf4a"
"71","Thymelaeaceae","angiosperm","#4daf4a"
"72","Bixaceae","angiosperm","#4daf4a"
"73","Cochlospermaceae","angiosperm","#4daf4a"
"74","Dipterocarpaceae","angiosperm","#4daf4a"
"75","Malvaceae","angiosperm","#4daf4a"
"76","Bombacaceae","angiosperm","#4daf4a"
"77","Kirkiaceae","angiosperm","#4daf4a"
"78","Burseraceae","angiosperm","#4daf4a"
"79","Berceraceae","angiosperm","#4daf4a"
"80","Anacardiaceae","angiosperm","#4daf4a"
"81","Sapindaceae","angiosperm","#4daf4a"
"82","Meliaceae","angiosperm","#4daf4a"
"83","Simaroubaceae","angiosperm","#4daf4a"
"84","Rutaceae","angiosperm","#4daf4a"
"85","Zygophyllaceae","angiosperm","#4daf4a"
