"","plot","year","lon","lat","canopyCoverMu","canopyCoverSd","canopyHtMu","canopyHtSd","grassBiomassMu.kgha","shrubCoverMu","shrubCoverSd","grassBiomassSd.kgha","ht0.2Mu","ht0.2Sd","ht2.4Mu","ht2.4Sd","ht4.6Mu","ht4.6Sd","ht6.8Mu","ht6.8Sd","ht8.10Mu","ht8.10Sd","ht10.12Mu","ht10.12Sd","ht12.14Mu","ht12.14Sd","ht14.16Mu","ht14.16Sd","ht16.18Mu","ht16.18Sd","ht18.20Mu","ht18.20Sd","habitat","cec30","n30","ph","slope","aspect","elevation","tpi"
"G_1_2012","G_1",2012,31.5889083,-25.0479861,0.417,0.026,2.768,2.603,1486.757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",202.88,1,6.5,0.81,249.36,357.36,3
"G_1_2023","G_1",2023,31.5889083,-25.0479861,0.417,0.026,2.768,2.603,1486.757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",202.88,1,6.5,0.81,249.36,357.36,3
"G_1_2024","G_1",2024,31.5889083,-25.0479861,0.356,0.33,2.85,3.43,2270,0.386,0.289,1030,0.258,0.379,0.386,0.35,0.112,0.131,0.2,0,0.6,0,0,0,0,0,0,0,0,0,0,0,"G",202.88,1,6.5,0.81,249.36,357.36,3
"G_10_2012","G_10",2012,31.5636778,-25.1201306,0.283,0.026,1.932,2.551,1112.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",188.89,1.15,6.4,1.08,174.07,410.54,-2
"G_10_2023","G_10",2023,31.5636778,-25.1201306,0.283,0.026,1.932,2.551,1112.532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",188.89,1.15,6.4,1.08,174.07,410.54,-2
"G_10_2024","G_10",2024,31.5636778,-25.1201306,0.293,0.299,0.761,1.39,2230,0.078,0.093,1600,0.115,0.121,0.068,0.17,0.072,0.109,0.117,0.258,0.002,0.009,0,0,0,0,0,0,0,0,0,0,"G",188.89,1.15,6.4,1.08,174.07,410.54,-2
"G_11_2012","G_11",2012,31.5459306,-25.1035639,0.164,0.006,0.136,0.64,1785.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",189.81,1.18,6.4,0.76,201.29,405,4
"G_11_2023","G_11",2023,31.5459306,-25.1035639,0.164,0.006,0.136,0.64,1785.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",189.81,1.18,6.4,0.76,201.29,405,4
"G_11_2024","G_11",2024,31.5459306,-25.1035639,0.112,0.206,0.406,0.823,1470,0.249,0.218,742,0.086,0.125,0.01,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G",189.81,1.18,6.4,0.76,201.29,405,4
"G_12_2012","G_12",2012,31.54646385,-25.09284405,0.255,0.025,1.832,2.509,2973.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",190.39,1.19,6.4,1.07,348.03,392.14,10
"G_12_2023","G_12",2023,31.54646385,-25.09284405,0.255,0.025,1.832,2.509,2973.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",190.39,1.19,6.4,1.07,348.03,392.14,10
"G_13_2012","G_13",2012,31.5477142,-25.0735056,0.007,0.016,0.568,1.561,985.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",182.44,1.04,6.5,0.46,347.5,381.59,7
"G_13_2023","G_13",2023,31.5477142,-25.0735056,0.007,0.016,0.568,1.561,985.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",182.44,1.04,6.5,0.46,347.5,381.59,7
"G_13_2024","G_13",2024,31.5477142,-25.0735056,0.078,0.222,0.041,0.192,2260,0.166,0.21,541,0.034,0.049,0.002,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"G",182.44,1.04,6.5,0.46,347.5,381.59,7
"G_14_2012","G_14",2012,31.55761929,-25.06180006,0.089,0.021,1.977,2.101,1957.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",172.16,1.07,6.5,1,78.63,375.85,1
