"","ApalisBarthroated","ApalisYellowbreasted","BabblerArrowmarked","BarbetAcaciaPied","BarbetBlackcollared","BarbetCrested","BatisCape","BatisChinspot","BeeeaterEuropean","BeeeaterLittle","BeeeaterWhitefronted","BitternDwarf","BoubouSouthern","BrownbulTerrestrial","Brubru","BulbulDarkcapped","BuntingCinnamonbreasted","BuntingGoldenbreasted","BushshrikeGorgeous","BushshrikeGreyheaded","BushshrikeOrangebreasted","BustardBlackbellied","ButtonquailCommon(Kurrichane)","BuzzardLizard","CamaropteraGreenbacked","CanaryYellowfronted","ChatMockingCliff","CisticolaCroaking","CisticolaRattling","CisticolaRedfaced","CisticolaZitting","CormorantWhitebreasted","CoucalBlack","CoucalBurchells","CrombecLongbilled","CuckooBlack","CuckooDiederik","CuckooGreatSpotted","CuckooJacobin","CuckooKlaass","DoveCapeTurtle(Ringnecked)","DoveEmeraldspottedWood","DoveLaughing","DrongoForktailed","DuckKnobbilled","DuckWhitefacedWhistling","EagleAfricanFish","EagleBrownSnake","EagleTawny","EgretGreat","EremomelaBurntnecked","EremomelaYellowbellied","FalconAmur","FirefinchAfrican","FirefinchJamesons","FlycatcherAfricanDusky","FlycatcherAfricanParadise","FlycatcherAshy","FlycatcherFiscal","FlycatcherGreyTit","FlycatcherSouthernBlack","FlycatcherSpotted","FrancolinCoqui","FrancolinCrested","FrancolinShelleys","GoawaybirdGrey","GooseEgyptian","GooseSpurwinged","GoshawkDarkChanting","GoshawkGabar","GrebeGreatCrested","GrebeLittle","GreenbulSombre","GuineafowlCrested","GuineafowlHelmeted","Hamerkop","HawkAfricanHarrier","HelmetshrikeWhitecrested","HeronBlackheaded","HeronGoliath","HeronGrey","HoneyguideGreater","HoopoeAfrican","HornbillAfricanGrey","HornbillSouthernGround","HornbillSouthernRedbilled","HornbillSouthernYellowbilled","IbisHadeda(Hadada)","IndigobirdDusky","IndigobirdPurple","IndigobirdVillage","KingfisherBrownhooded","KingfisherWoodland","KiteBlackwinged","KorhaanRedcrested","LapwingBlacksmith","LapwingCrowned","LapwingWhitecrowned","LarkFlappet","LarkSabota","MousebirdRedfaced","MousebirdSpeckled","Neddicky","NightjarFierynecked","OrioleBlackheaded","OwletPearlspotted","OxpeckerRedbilled","ParrotBrownheaded","PendulinetitGrey","PetroniaYellowthroated","PigeonAfricanGreen","PriniaTawnyflanked","PuffbackBlackbacked","PytiliaGreenwinged","QueleaRedbilled","RobinchatRedcapped","RobinchatWhitebrowed","RobinWhitebrowedScrub","RollerEuropean","RollerLilacbreasted","SandgrouseDoublebanded","ScimitarbillCommon","Shikra","ShrikeLesserGrey","ShrikeMagpie","ShrikeRedbacked","ShrikeSouthernWhitecrowned","SparrowSouthernGreyheaded","SpurfowlNatal","SpurfowlSwainsons","StarlingBurchells","StarlingCapeGlossy(Cape)","StarlingGreaterBlueeared","StarlingVioletbacked","StorkBlack","StorkWoollynecked","SunbirdScarletchested","SunbirdWhitebellied","SwallowBarn","SwiftAfricanPalm","TchagraBlackcrowned","TchagraBrowncrowned","ThickkneeWater","ThrushGroundscraper","ThrushKurrichane","TitSouthernBlack","TuracoPurplecrested","VultureWhitebacked","WagtailAfricanPied","WagtailCape","WarblerStierlingsWren","WarblerWillow","WaxbillBlue","WaxbillCommon","WaxbillVioleteared","WeaverRedbilledBuffalo","WeaverSouthernMasked","WeaverSpectacled","WhydahLongtailedParadise","WidowbirdFantailed","WidowbirdRedcollared","WidowbirdWhitewinged","WoodhoopoeGreen","WoodpeckerBearded","WoodpeckerCardinal","WoodpeckerGoldentailed"
"G_1_2012",0,0,10,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,2,0,0,0,0,0,6,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4,1,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,1,0,0,1,0,0,0,0,15,0,0,0,1,0,0,19,0,0,0,2,0,0,0,0,0,8,2,1,0
"G_1_2023",0,0,9,0,0,5,0,11,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,2,0,1,0,0,0,7,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,6,0,1,0,0,0,1,0,0,0,0,1,2,0
"G_1_2024",0,0,0,0,2,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,1,0,0,0,0,0,4,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,3,2,0
"G_10_2012",0,1,8,0,1,2,0,7,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,0,0,33,0,0,0,0,0,0,0,0,1,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,0
"G_10_2023",0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,2,0,0,11,0,0,0,0,1,3,0,0,0,0,0,9,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,5,4,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,3,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0
"G_10_2024",0,0,5,0,1,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,0,0,2,2,0,0,1,0,0,2,0,0,0,0,0,0,8,0,4,2,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"G_11_2012",0,0,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,7,0,0,0,0,0,5,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5,0,0,0,0,0,0,0,3,0,8,0,0,0,8,0,0,0,7,2,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0
"G_11_2023",0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,1,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,3,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0
"G_11_2024",0,1,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0
"G_12_2012",0,1,14,0,0,0,0,7,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,1,0,6,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0
